"VARIABLES","UNIQUE.R2","best.threshold"
"density",0.063102384685077,0.005
"VPD_1",0.00759051461341342,0.005
"PR_2",0.10386962168125,0.005
"RMEAN_1",0.00237758969348933,0.005
"VPD_2",-0.0381773629753168,0.005
"TMINC_1",-0.038262958594922,0.005
